# Searching for substation nr 10640.2 in v2.temperature.inv
# FRANKFURT-AM-MAIN   GERMANY   (GERMANY)
# coordinates:  50.10N,    8.70E,  109m
# Near WMO station code: 10640.2 FRANKFURT-AM-MAIN             
# institution :: NOAA/NCEI
# source_url :: https://www.ncdc.noaa.gov/ghcnm/v2.php
# contact_email :: NCDC.GHCNM@noaa.gov.
# retrieved :: Fri Dec 14 16:24:48 CET 2018
# references :: Peterson, T.C., and R.S. Vose, 1997: An overview of the Global Historical Climatology Network temperature database.Bulletin of the American Meteorological Society, 78 (12), 2837-2849
# station_name :: FRANKFURT-AM-MAIN
# station_country :: GERMANY
# station_code :: 10640.2
# latitude ::   50.10 degrees_north
# longitude ::    8.70 degrees_east
# elevation ::      109 m
# climexp_url :: https://climexp.knmi.nl/getprcpall.cgi?WMO=10640.2
# prcp from v2.prcp [mm/month]
 1826    4.5   44.4   40.2   29.3   97.9   50.1   76.5   48.3   30.2   64.1   64.1   56.8
 1827   46.7   61.6  105.6   12.2   74.4   49.9    7.9   25.5   52.1   68.1   58.7  107.4
 1828  113.2   40.6 -999.9 -999.9   69.0   41.3  100.6  127.9   66.5   24.8 -999.9   35.9
 1829   37.0 -999.9 -999.9   62.3   75.1  118.7  116.2  182.7   93.8   57.5   46.7 -999.9
 1830   47.8 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9   53.2   52.8   36.5   42.4
 1831   31.6   86.4   75.3  101.5   77.4  153.6  131.1   63.6   51.4   33.6  120.9   51.0
 1832   72.0    3.4   28.2   20.5   65.4   98.1   31.8   49.6   18.7 -999.9   97.5   64.5
 1833   25.5    9.0 -999.9   66.1   10.8   19.2   72.9   41.1   24.8   11.3   18.7 -999.9
 1834 -999.9 -999.9   36.1    1.8   42.2 -999.9   38.8  140.8   58.7  119.6 -999.9 -999.9
 1835 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9
 1836 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9   24.0   46.0   84.0   34.0   69.0   35.0
 1837   43.4   50.3   20.7   49.3   78.9   27.6  104.5  100.6   89.7   28.6   23.7   79.9
 1838   16.8   23.7   21.7   18.7   33.5   91.7   84.8   53.2   27.6   40.4   84.8   45.4
 1839   49.3  100.6   65.1   34.5   48.3   46.3   31.6   76.9   65.1   51.3   33.5  102.5
 1840   62.1   31.6   23.7    3.9   31.6   58.2   56.2   22.7   64.1   46.3  113.4   16.8
 1841  105.5   23.7   32.5   31.6   37.5   80.9   51.3   81.8   55.2  134.1   72.0   83.8
 1842   29.6    7.9   84.8    9.9   42.4   19.7   50.3  110.4   57.2   33.5   77.9   13.8
 1843   80.9   49.3   12.8   50.3  103.5  136.1   78.9   96.6    4.9   74.9   57.2   18.7
 1844   47.3   78.9   72.0   34.5   86.8   16.8  112.4   43.4   74.9   62.1   81.8   21.7
 1845   13.8   33.5   33.5   39.4   86.8   68.0   79.9  114.4   66.1   30.6   40.4  110.4
 1846  121.3   83.8   49.3   48.3   33.5   47.3   28.6  107.5   71.0   43.4   50.3   50.3
 1847   33.5   23.7   15.8   49.3   58.2   23.7  100.6   31.6   66.1   40.4   16.8   55.2
 1848   18.7   48.3   76.9  144.0   32.5   55.2   39.4   83.8   59.2   64.1   81.8   27.6
 1849   29.6   25.6   18.7    8.9   53.2   64.1   82.8   47.2   36.8   56.9   29.8   54.2
 1850   11.8    9.9    4.9   14.8   14.8   88.7   42.4   58.2   47.3   43.4   41.4   53.2
 1851   21.0   12.0   40.0   16.0   71.0   24.0  122.0   11.0   47.0   23.0   35.0    7.0
 1852   71.0   54.0   34.0   19.0   23.0   46.0   34.0  144.0   50.0   59.0   71.0   90.0
 1853   93.0   23.0   19.0   63.0   70.0   89.0   51.0   45.0   68.0   50.0   12.0    6.0
 1854   57.0   20.0   16.0   32.0   82.0  149.0   65.0  154.0    6.0   77.0   49.0  101.0
 1855   22.0   46.0   40.0   20.0   58.0  149.0  149.0   58.0    7.0   96.0   23.0   57.0
 1856   55.0   22.0   12.0  111.0  156.0  124.0   91.0   78.0   79.0   18.0   69.0   54.0
 1857   56.0   16.0   24.0   36.0   61.0   36.0   38.0   44.0   58.0   42.0   23.0   15.0
 1858   42.0    9.0   30.0   43.0   69.0   12.0   53.0   66.0   19.0   32.0   54.0   50.0
 1859   24.0   34.0   24.0   57.0   58.0   52.0   23.0   68.0   66.0   52.0   90.0   56.0
 1860   72.0   53.0   46.0   18.0   65.0  119.0   37.0  173.0   61.0   77.0   41.0   54.0
 1861   40.0   11.0   82.0    7.0   40.0  193.3  107.0   21.0   69.0    2.0   94.0   22.0
 1862   83.0   15.0   25.0   11.0   41.0  124.0  205.1   23.0   20.0   74.0   22.0   71.0
 1863   40.0   18.0   59.0   23.0   56.0   77.0   19.0   46.0   66.0   29.0   51.0   48.0
 1864   16.0   12.0   34.0    8.0   43.0   79.0   31.0   36.0   29.0   12.0   60.0    6.0
 1865   68.0   72.0   33.0    2.0   32.0   21.0   74.0   46.0    1.0   74.0   55.0    7.0
 1866   65.0   84.0   74.0   69.0   48.0   57.0   95.0   71.0   57.0    4.0   70.0   56.0
 1867   85.0   62.0   54.0  106.0   91.0   51.0  132.0   48.0   23.0   81.0   11.0   54.0
 1868   54.0   15.0   43.0   47.0   18.0   56.0   60.0   44.0   44.0   76.0   47.0  106.0
 1869   29.0   41.0   33.0   16.0   73.0   14.0   34.0   35.0   26.0   61.0  107.0   56.0
 1870   32.0   10.0   33.0    8.0   13.0   33.0  108.0  115.0   47.0  125.0   38.0   59.0
 1871   38.0   39.0   13.0   92.0   11.0  135.0  138.0   46.0   60.0   43.0   13.0   20.0
 1872   45.0   33.0   36.0   57.0   84.0   72.0   41.0   63.0   35.0   62.0  153.0   75.0
 1873   46.0   21.0   45.0   27.0   34.0   56.0   93.0   57.0   50.0   70.0   20.0    7.0
 1874   21.0   10.0   19.0   15.0   67.0   66.0   35.0   46.0   39.0   25.0   45.0   59.0
 1875   74.0   10.0   18.0    4.0   52.0  102.0  150.0   33.0   31.0   51.0  105.0   31.0
 1876   13.0   77.0  110.0   46.0   20.0   46.0   69.0   55.0   91.0   15.0   38.0   75.0
 1877   77.0   61.0   64.0   34.0   47.0   34.0   98.0   41.0   49.0   30.0   60.0   52.0
 1878   48.0   21.0   55.0   46.0  104.0   79.0   42.0  131.0   59.0   70.0   58.0   70.0
 1879   55.0   77.0   12.0   64.0   45.0   78.0  105.0   97.0   61.0   56.0   48.0   42.0
 1880   10.0   30.0   31.0   47.0    5.0  115.0   49.0   44.0   52.0  147.0   39.0   98.0
 1881   33.0   64.0   85.0   23.0   10.0   30.0   49.0   66.0   32.0   83.0   18.0   38.0
 1882   14.0   24.0   32.0   58.0   58.0   80.0  197.2   72.0   90.0   85.0  151.0   72.0
 1883   45.0   25.0   28.0    6.0   32.0   27.0   85.0   52.0   61.0   73.0   76.0   43.0
 1884   48.0   31.0   16.0   27.0   50.0   33.0   66.0   72.0   33.0   45.0   18.0  101.0
 1885   21.0   56.0   54.0   21.0   69.0  101.0   54.0   26.0   55.0  104.0   64.0   35.0
 1886   40.0   22.0   42.0   23.0   50.0   77.0   70.0   26.0   27.0   60.0   38.0  102.0
 1887   10.0   12.0   50.0   16.0   92.0   22.0   42.0   29.0   55.0   32.0   44.0   80.0
 1888   18.0   19.0  102.0   24.0   28.0  104.0  121.0   82.0   24.0   53.0   18.0   16.0
 1889    5.0   55.0   36.0   14.0   71.0   56.0   55.0   50.0   31.0   46.0   41.0   55.0
 1890   88.0    1.0   21.0   45.0   67.0   51.0  106.0   93.0    1.0   67.0   56.0    1.0
 1891   33.0    1.0   51.0   43.0   65.0  127.0   53.0   43.0   38.0   59.0   52.0   64.0
 1892   36.0   36.0   31.0    8.0   16.0   64.0   36.0   29.0   46.0   53.0   21.0   43.0
 1893   40.0   86.0   18.0    0.0   27.0   55.0  113.0   31.0   60.0   79.0   67.0   36.0
 1894   28.0   37.0   29.0   22.0   43.0   47.0   71.0   54.0   72.0  109.0   37.0   33.0
 1895   54.0   12.0   45.0   36.0   38.0   46.0   50.0   49.0    2.0   59.0   56.0   75.0
 1896   29.0    1.0   43.0   52.0    4.0   54.0   89.0   88.0   69.0   54.0   19.0   25.0
 1897   28.0   48.0   41.0   46.0   42.0   52.0   36.0   57.0   76.0    9.0   14.0   47.0
 1898   15.0   49.0   41.0   65.0   81.0   67.0  105.0   29.0   14.0   49.0   14.0   18.0
 1899   82.0   20.0   23.0   62.0   35.0   68.0   61.0   23.0  102.0   34.0   18.0   37.0
 1900   82.0   46.0   20.0   25.0   37.0   66.0   84.0   73.0   35.0   79.0   43.0   55.0
 1901   30.0   22.0   64.0   48.0   25.0   36.0   43.0  128.0   93.0   82.0   25.0   61.0
 1902   35.0   49.0   53.0   10.0   54.0   32.0   32.0   68.0   57.0   33.0   19.0   76.0
 1903   52.0   12.0   24.0   39.0   24.0   16.0   62.0   93.0   28.0   68.0   51.0   19.0
 1904   40.0   69.0   50.0   39.0   52.0   56.0   19.0   24.0   79.0   63.0   32.0   37.0
 1905   37.0   36.0   72.0   24.0   18.0   63.0   39.0   81.0   53.0   60.0   50.0   30.0
 1906   61.0   26.0   89.0   23.0   78.0   34.0   57.0   83.0   15.0   16.0   55.0   60.0
 1907   39.0   25.0   39.0   32.0   41.0   42.0   95.0   47.0   19.0   56.0   49.0   55.0
 1908   15.0   39.0   29.0   50.0   97.0   32.0   89.0   98.0   47.0    4.0   35.0   16.0
 1909   31.0   30.0   26.0   38.0   54.0   62.0  100.0   78.0   81.0   58.0   28.0   78.0
 1910   53.0   62.0   13.0   19.0   61.0   56.0   72.0   81.0   32.0   16.0  116.0   53.0
 1911   12.0   18.0   38.0   17.0   76.0   35.0   16.0   18.0   35.0   34.0   54.0   75.0
 1912   52.0   53.0   55.0    8.0   51.0   42.0   59.0   92.0   42.0   95.0   41.0   50.0
 1913   50.0   24.0   23.0   31.0   59.0   95.0   44.0   16.0   63.0   35.0   78.0   55.0
 1914   30.0   46.0  102.0   21.0  109.0   76.0   80.0   52.0   62.0   32.0   47.0   53.0
 1915   51.0   22.0   43.0   59.0   28.0   24.0   41.0   61.0   27.0   18.0   33.0  118.0
 1916   45.0   60.0   46.0   50.0   61.0   77.0   46.0  127.0   55.0   58.0   34.0   72.0
 1917   33.0    3.0   52.0   22.0   29.0   69.0   53.0   89.0   19.0  116.0   24.0   14.0
