# Searching for station nr 11012 in v2.temperature.inv
# KREMUENSTER         AUSTRIA   (AUSTRIA)
# coordinates:  48.10N,   14.10E,  382m
# WMO station code: 11012 KREMUENSTER                   
# institution :: NOAA/NCEI
# source_url :: https://www.ncdc.noaa.gov/ghcnm/v2.php
# contact_email :: NCDC.GHCNM@noaa.gov.
# retrieved :: Fri Dec 14 16:24:48 CET 2018
# references :: Peterson, T.C., and R.S. Vose, 1997: An overview of the Global Historical Climatology Network temperature database.Bulletin of the American Meteorological Society, 78 (12), 2837-2849
# station_name :: KREMUENSTER
# station_country :: AUSTRIA
# station_code :: 11012
# latitude ::   48.10 degrees_north
# longitude ::   14.10 degrees_east
# elevation ::      382 m
# climexp_url :: https://climexp.knmi.nl/getprcpall.cgi?WMO=11012
# prcp from v2.prcp [mm/month]
 1820 -999.9 -999.9 -999.9   72.0   46.0   82.0  130.0   84.0   44.0   45.0   35.0   49.0
 1821   36.0   44.0  122.0   41.0   47.0   88.0  174.0  110.0  138.0   24.0   22.0   51.0
 1822   84.0   21.0   97.0   12.0   59.0   27.0   71.0  107.0   49.0   23.0   25.0   10.0
 1823   43.0  102.0   29.0   30.0   68.0   67.0  151.0  192.0   52.0   13.0   21.0  102.0
 1824   54.0   28.0  107.0   62.0   87.0  115.0  132.0  146.0   52.0  122.0   89.0   22.0
 1825   50.0   50.0   43.0   46.0   48.0  104.0  107.0   68.0   46.0   72.0   40.0   17.0
 1826   25.0   42.0   32.0   26.0  121.0  131.0   32.0   67.0   48.0   77.0   54.0   76.0
 1827   80.0   29.0   81.0   27.0   56.0  157.0   87.0  161.0   69.0   20.0   77.0  105.0
 1828   50.0   37.0  135.0   31.0   35.0  231.0  138.0  131.0  127.0   44.0   28.0   50.0
 1829   17.0  112.0    5.0   82.0   94.0  186.0   87.0   89.0   41.0   40.0   62.0   19.0
 1830   11.0   84.0   41.0   64.0  118.0   99.0   69.0  114.0   92.0   23.0   14.0   33.0
 1831   46.0   68.0   50.0   27.0   49.0  125.0  110.0   43.0   53.0    4.0  107.0   29.0
 1832   48.0    6.0   18.0   24.0   52.0  103.0  129.0   86.0   47.0   38.0   56.0   62.0
 1833   13.0   43.0   28.0 -999.9   14.0   82.0  189.0  167.0   96.0   57.0   60.0  150.0
 1834   86.0    8.0   58.0   14.0   42.0   78.0   66.0   94.0   29.0   69.0   21.0   80.0
 1835   47.0   43.0   58.0   56.0  101.0   98.0   69.0  134.0  158.0  154.0   19.0   37.0
 1836   48.0   61.0   25.0   93.0   48.0   68.0   69.0   90.0   55.0   28.0   98.0   70.0
 1837   35.0   21.0   38.0   31.0  149.0  136.0  201.0   68.0   70.0   86.0  104.0   87.0
 1838   22.0   26.0   81.0   77.0   78.0  149.0   86.0  135.0   73.0   36.0   63.0   36.0
 1839  135.0   70.0   34.0   85.0  147.0  133.0  126.0  164.0   64.0   13.0   41.0   62.0
 1840   96.0   37.0   48.0   11.0  108.0  143.0  155.0  122.0   85.0  123.0   75.0   38.0
 1841   65.0   20.0   46.0   56.0   67.0  120.0  208.0  102.0   32.0   58.0   27.0   47.0
 1842   47.0   10.0  103.0   47.0   89.0   40.0  164.0   61.0   72.0  100.0   64.0   72.0
 1843  122.0   27.0   27.0   64.0  134.0  189.0  200.0   84.0   55.0  122.0   59.0   37.0
 1844  106.0   64.0   61.0   31.0  133.0   67.0  167.0  112.0  123.0   84.0   34.0    3.0
 1845   15.0   59.0   85.0   75.0  156.0  110.0  109.0  149.0  102.0   10.0   25.0  110.0
 1846  120.0   82.0   76.0   82.0   24.0  149.0  121.0  175.0   93.0   54.0   54.0   70.0
 1847   11.0   92.0   16.0  128.0  111.0  149.0  153.0   96.0  173.0  148.0   28.0   38.0
 1848   24.0   72.0   40.0   70.0   53.0  116.0  192.0  112.0   86.0   48.0   66.0    0.0
 1849   71.0   38.0   54.0   74.0   72.0   85.0   83.0  253.0   26.0   73.0   60.0   67.0
 1850   71.0  111.0   46.0  136.0   78.0  236.0  121.0   83.0   89.0  168.0  100.0   93.0
 1851   18.0   34.0   68.0  114.0  181.0  124.0  159.0  188.0  116.0   26.0   93.0   43.0
 1852   38.0   78.0   47.0   30.0  100.0   84.0  138.0  153.0   70.0   81.0   61.0   28.0
 1853   45.0   30.0   93.0  170.0   53.0  208.0  133.0  115.0   47.0   42.0   55.0   23.0
