# Searching for station nr  3208 in v2.temperature.inv
# POINT OF AYRE       UK        (UNITED KINGDOM)
# coordinates:  54.40N,   -4.40E,   35m
# WMO station code:  3208 POINT_OF_AYRE                 
# institution :: NOAA/NCEI
# source_url :: https://www.ncdc.noaa.gov/ghcnm/v2.php
# contact_email :: NCDC.GHCNM@noaa.gov.
# retrieved :: Fri Dec 14 16:24:48 CET 2018
# references :: Peterson, T.C., and R.S. Vose, 1997: An overview of the Global Historical Climatology Network temperature database.Bulletin of the American Meteorological Society, 78 (12), 2837-2849
# station_name :: POINT_OF_AYRE
# station_country :: UNITED KINGDOM
# station_code :: 3208
# latitude ::   54.40 degrees_north
# longitude ::   -4.40 degrees_east
# elevation ::       35 m
# climexp_url :: https://climexp.knmi.nl/getprcpall.cgi?WMO=3208
# prcp from v2.prcp [mm/month]
 1823   49.0   62.5   39.1   23.4   76.5   20.3   58.7   71.6   98.8   80.3   32.8   79.2
 1824   26.9   18.8   55.9   33.3   11.7   28.2   41.1   53.1   59.2  117.1  107.4  102.4
 1825   41.7   21.3   39.6   27.2   42.7   25.4   10.9   83.3   61.7   84.8   99.1   38.4
 1826   14.5   92.2   28.2   37.8    3.0    3.6   29.0   31.0   22.4   62.0   43.7  114.6
 1827   46.2   17.8   97.3   26.9   28.2   31.2   36.6   88.9   48.3   59.4   84.3  115.3
 1828   58.7   46.2   19.3   77.7   48.8   22.1   49.5   35.1   49.5  107.7   71.1   98.3
 1829   20.1   26.4   36.8   75.2   17.5   45.2   64.5  130.8   66.0   93.0   67.3   43.2
 1830   12.2   33.8   29.5   55.1   70.4   44.2   51.1   57.9  118.4   48.5  108.2   63.0
 1831   50.5   55.6   95.8   35.8    5.6   52.1   37.1   59.9  102.4  103.9  128.3   98.6
 1832   40.4   18.0   50.8   24.6   29.5   60.7   29.5   71.9   19.6  122.2  109.7   75.4
 1833   10.7   67.3   40.9   34.0   27.7  109.5   45.2   22.6   71.9   41.4  107.9  104.1
 1834  134.9   64.3   42.7   23.1   22.4   46.0   74.9   83.6   83.8   66.5   63.0   31.5
 1835   64.8   68.8   48.8   11.4   96.0   16.5   53.1   40.4   89.4  108.5  119.1   53.6
 1836   55.4   37.3   80.8   38.4    4.8   67.3   99.8   81.3   85.9   67.8   71.4   70.6
 1837   46.0   63.8   18.8   34.0   19.3   44.4  135.4   47.2   38.9   64.8   94.5  115.8
 1838   25.4   45.7   67.1   42.2   45.7   92.5   64.5   62.0   26.7   63.0  111.0   54.4
 1839   39.6   40.4   52.6   29.7   19.8   34.3  132.6   94.7  123.7   91.4  102.1   87.6
 1840   69.1   51.3    8.6   14.7   41.7   61.5   57.9   72.9   87.6   58.7  108.7   42.2
 1841   54.9   77.0   74.7   50.5   57.1   29.0   57.1   76.5   69.1  119.6   67.6  109.7
